电流,电压,电功,热功,温度
0,510.0631488,0,1.42E-16,20.04621832
0,510.0632137,0,1.71E-16,20.04622882
0,510.0632978,0,-1.71E-16,20.04624418
0,510.0634031,0,5.68E-17,20.04626744
0,510.0634851,0,8.53E-17,20.0462907
0,510.0635472,0,-2.84E-17,20.04631396
0,510.0635982,0,3.13E-16,20.04634087
0,510.0636304,0,1.99E-16,20.04636778
0,510.0636469,0,9.38E-16,20.04639469
0,510.0636498,0,5.68E-17,20.04642862
0,510.0636362,0,3.69E-16,20.04646254
0,510.0636095,0,4.83E-16,20.04649647
0,510.0635609,0,5.97E-16,20.04653983
0,510.0634996,0,6.54E-16,20.04658318
0,510.0634125,0,5.68E-16,20.04663611
0,510.0633154,0,7.96E-16,20.04668904
0,510.0631869,0,4.06E-15,20.04675426
0,510.0630516,0,-5.60E-15,20.04681947
0,510.0628716,0,-6.11E-15,20.04690344
0,510.0626406,0,-6.65E-15,20.04700858
0,510.0623595,0,1.53E-15,20.04713476
0,510.0620247,0,6.76E-15,20.04728411
0,510.0616076,0,1.38E-14,20.04747
0,510.0610418,0,2.07E-14,20.04772277
0,510.0602053,0,3.69E-14,20.04809791
0,510.0591361,0,3.85E-14,20.04857896
0,510.0578446,0,-2.27E-16,20.04915994
0,510.0561361,0,-1.21E-14,20.04992643
0,510.054428,0,-3.10E-15,20.05069144
0,510.052725,0,-1.68E-15,20.05145497
0,510.0504577,0,-3.35E-15,20.05247318
0,510.048195,0,-2.73E-15,20.05348877
0,510.0453449,0,-4.80E-15,20.05476514
0,510.0424989,0,-1.19E-14,20.05603738
0,510.0396578,0,-1.81E-14,20.0573055
0,510.0360868,0,-3.04E-14,20.05889514
0,510.0311091,0,-7.82E-14,20.06110038
0,510.0261292,0,-1.26E-13,20.06329323
0,510.0173796,0,-5.75E-13,20.06710595
0,510.0053908,0,1.27E-13,20.07223549
0,509.9818023,0,2.96E-13,20.08197372
0,509.9579366,0,4.35E-12,20.0914637
0,509.9342623,0,-1.20E-12,20.10071337
0,509.9114739,0,6.95E-13,20.10973315
0,509.8904546,0,2.03E-13,20.11853688
0,509.8764281,0,3.52E-13,20.12484863
0,509.8635091,0,-9.28E-14,20.13105978
0,509.8514816,0,-1.38E-13,20.13717614
0,509.8356076,0,-9.98E-13,20.14558247
0,509.8230969,0,1.86E-14,20.15237238
0,509.8215566,0,5.07E-14,20.15321487
0,509.8210029,0,-5.12E-16,20.15351733
0,509.8207951,0,-2.51E-14,20.15363097
0,509.820411,0,-3.98E-14,20.15384159
0,509.8197006,0,3.36E-14,20.1542301
0,509.8187372,0,5.77E-15,20.15475607
0,509.817398,0,1.67E-14,20.15548706
0,509.8153212,0,8.91E-14,20.15662077
0,509.811459,0,-7.47E-14,20.15872786
0,509.8004506,0,-1.77E-12,20.16471822
0,509.7815352,0,5.34E-13,20.17493587
0,509.7768678,0,-1.34E-13,20.17744603
0,509.7743903,0,-6.49E-14,20.17877636
0,509.772122,0,-4.77E-14,20.17999419
0,509.7710173,0,1.01E-14,20.18058749
0,509.7706156,0,-1.16E-14,20.18080345
0,509.7699681,0,-2.28E-14,20.18115193
0,509.7681033,0,-6.48E-14,20.18215871
0,509.7673224,0,2.60E-14,20.18258234
0,509.7655383,0,3.96E-14,20.18355825
0,509.7625904,0,1.80E-13,20.18519219
0,509.7597011,0,-2.36E-15,20.18681967
0,509.7554229,0,-2.18E-13,20.18930128
0,509.7527229,0,-4.50E-13,20.19093123
0,509.7518392,0,-2.15E-14,20.19147821
0,509.7514102,0,-2.89E-13,20.19174739
0,509.7512488,0,-1.64E-13,20.19185524
0,509.7510667,0,-2.13E-13,20.19198518
0,509.7508175,0,3.38E-13,20.19216041
0,509.7505556,0,3.37E-13,20.1923356
0,509.7502259,0,-1.99E-13,20.19254759
0,509.7498181,0,-3.45E-14,20.19281062
0,509.7497204,0,7.47E-15,20.19287752
0,509.7496327,0,-6.51E-15,20.19294441
0,509.7495554,0,1.13E-14,20.1930113
0,509.7494865,0,-7.13E-15,20.19307819
0,509.7494011,0,-1.65E-14,20.19316858
0,509.7492617,0,-8.73E-15,20.19332504
0,509.7491262,0,-2.87E-15,20.19348151
0,509.7489906,0,7.96E-16,20.19363798
0,509.7488544,0,-2.17E-14,20.19379444
0,509.748553,0,6.39E-14,20.1941392
0,509.7479909,0,-3.47E-15,20.194778
0,509.7470921,0,8.69E-14,20.19579008
0,509.7451571,0,-1.34E-13,20.19793728
0,509.7411875,0,-1.50E-12,20.20224996
0,509.7332221,0,-1.02E-14,20.21078066
0,509.7209283,0,2.03E-13,20.22428822
0,509.7095649,0,-6.57E-14,20.23774618
0,509.6994619,0,6.57E-14,20.25113959
0,509.690646,0,2.71E-13,20.26445815
0,509.6799884,0,1.47E-13,20.28328068
0,509.6667793,0,-1.57E-13,20.31180702
0,509.6524584,0,7.85E-13,20.35014397
0,509.6519274,0,1.28E-13,20.35179406
0,509.6513864,0,2.21E-14,20.35346436
0,509.6509327,0,-1.53E-14,20.35486531
0,509.6506751,0,-1.62E-15,20.35566253
0,509.6504505,0,1.30E-14,20.35635866
0,509.6502266,0,1.31E-15,20.35705382
0,509.6500034,0,-5.66E-15,20.35774803
0,509.6499747,0,-3.13E-16,20.3578371
0.003928942,509.6487177,0.00200238,-3.31E-05,20.35786752
0.016067823,509.6448543,0.008188883,-0.000135459,20.35789792
0.025177209,509.6419549,0.012831362,-0.000212182,20.35792072
0.034386709,508.1545002,0.017473761,-0.000238729,20.35794351
0.043671555,506.4237153,0.022116311,-0.000227502,20.3579663
0.052985209,505.0238996,0.026758797,-0.000201844,20.35798909
0.066538422,503.3736988,0.033493692,-0.000143872,20.35802217
0.094222265,500.8511653,0.047191331,3.42E-05,20.35808949
0.132378208,498.3820802,0.065974927,0.000374929,20.35818197
0.170700803,496.5324424,0.084758487,0.000799201,20.35827468
0.222321497,494.606599,0.10996168,0.001469043,20.35839953
